rebalance_date,ticker,sector,pred,weight
2026-07-24,SYRE,Healthcare,0.0488032679025868,0.00167
2026-07-24,IMVT,Healthcare,0.048344403623705,0.00139
2026-07-24,AEHR,Technology,0.0502314045828893,0.00081
2026-07-24,MRVI,Healthcare,0.0477582345154805,0.00178
2026-07-24,POWL,Industrials,0.0410896583382505,0.00165
2026-07-24,RLAY,Healthcare,0.0474544466837278,0.00178
2026-07-24,KLIC,Technology,0.0496061568980407,0.00171
2026-07-24,FROG,Technology,0.0492972551512577,0.0015
2026-07-24,VSAT,Technology,0.0486230341082803,0.00116
2026-07-24,CBRL,Consumer Cyclical,0.0379831337115923,0.00167
2026-07-24,RIOT,Financial Services,0.03779656261013,0.0014
2026-07-24,MOD,Consumer Cyclical,0.0376251584225776,0.0016
2026-07-24,ACLS,Technology,0.0479614361012126,0.00125
2026-07-24,VECO,Technology,0.0477824491783675,0.00119
2026-07-24,KLAC,Technology,0.0470264192138781,0.0014
2026-07-24,IART,Healthcare,0.0446708504508691,0.00162
2026-07-24,SITM,Technology,0.0462857924172952,0.00121
2026-07-24,ALIT,Technology,0.045518543023887,0.00097
2026-07-24,WULF,Financial Services,0.0348082102072971,0.00134
2026-07-24,XNCR,Healthcare,0.0430883974903408,0.00164
2026-07-24,APPS,Technology,0.045231825428558,0.00091
2026-07-24,TRVI,Healthcare,0.0430353234291411,0.0018
2026-07-24,MLTX,Healthcare,0.0430071440099539,0.00187
2026-07-24,PACK,Consumer Cyclical,0.034570734973784,0.00138
2026-07-24,DK,Energy,0.0409050187479452,0.00209
2026-07-24,VG,Energy,0.0404482902095641,0.00149
2026-07-24,ALM,Basic Materials,0.0324003659811025,0.00122
2026-07-24,PARR,Energy,0.0399178103380332,0.0021
2026-07-24,LWLG,Basic Materials,0.0322764362613657,0.00088
2026-07-24,LCID,Consumer Cyclical,0.0327611680400401,0.00105
2026-07-24,HPP,Real Estate,0.0320241045557189,0.00162
2026-07-24,SYNA,Technology,0.0425348049416292,0.00137
2026-07-24,OII,Energy,0.0386497514032439,0.00249
2026-07-24,ONTO,Technology,0.0418229359797255,0.00139
2026-07-24,APGE,Healthcare,0.0391042463463593,0.00112
2026-07-24,AMKR,Technology,0.0405537276784996,0.0014
2026-07-24,LRCX,Technology,0.040267624124722,0.00149
2026-07-24,KYMR,Healthcare,0.0380049466743932,0.00189
2026-07-24,VRT,Industrials,0.0312078059383254,0.00173
2026-07-24,MKSI,Technology,0.0399995661817789,0.00166
2026-07-24,CIEN,Technology,0.0398070740421675,0.00151
2026-07-24,DNTH,Healthcare,0.0375859855141885,0.00195
2026-07-24,ALMS,Healthcare,0.0375636111335427,0.00167
2026-07-24,INNV,Healthcare,0.0373662916962433,0.00221
2026-07-24,HIMX,Technology,0.0394009207968809,0.00098
2026-07-24,OBE,Energy,0.0355300640658486,0.00176
2026-07-24,MRX,Financial Services,0.0279938193886735,0.00218
2026-07-24,NVCR,Healthcare,0.0362422126743749,0.00106
2026-07-24,ELVN,Healthcare,0.0361078488047487,0.00192
2026-07-24,NOK,Technology,0.0377019881840244,0.00142
2026-07-24,COCO,Consumer Defensive,0.0233700891573542,0.0015
2026-07-24,ALGM,Technology,0.0372933686440332,0.0012
2026-07-24,HELE,Consumer Defensive,0.0232078098517909,0.00191
2026-07-24,SNOW,Technology,0.0367747338187375,0.0013
2026-07-24,GH,Healthcare,0.0342200647065746,0.00184
2026-07-24,KOD,Healthcare,0.0341895581083907,0.00182
2026-07-24,ON,Technology,0.0360317322030978,0.00131
2026-07-24,SNEX,Financial Services,0.025292413808905,0.00197
2026-07-24,FCEL,Industrials,0.0270684112228814,0.0006
2026-07-24,MYRG,Industrials,0.0269451069815027,0.00175
2026-07-24,COHR,Technology,0.0357042028991858,0.00125
2026-07-24,SBET,Financial Services,0.0249954732938601,0.00167
2026-07-24,NTAP,Technology,0.0354529755695396,0.0018
