config,rows,names,dev_ic,dev_sharpe,dev_alpha,holdout_sharpe,holdout_alpha,holdout_t,ts
"{""inverse_vol"": true, ""learning_rate"": 0.05, ""long_frac"": 0.1, ""max_depth"": 3, ""min_dvol"": 500000, ""min_price"": 3.0, ""min_samples_leaf"": 200, ""sector_neutral"": true, ""short_frac"": 0.0}",3024489,5132,0.0504,0.41,9.26,0.38,6.0,0.8,2026-07-30T09:49:26
"{""inverse_vol"": false, ""learning_rate"": 0.03, ""long_frac"": 0.1, ""max_depth"": 4, ""min_dvol"": 500000, ""min_price"": 3.0, ""min_samples_leaf"": 100, ""sector_neutral"": true, ""short_frac"": 0.0}",3024489,5132,0.0528,0.4,10.15,0.53,10.56,1.13,2026-07-30T09:52:39
"{""inverse_vol"": false, ""learning_rate"": 0.03, ""long_frac"": 0.1, ""max_depth"": 2, ""min_dvol"": 500000, ""min_price"": 3.0, ""min_samples_leaf"": 100, ""sector_neutral"": false, ""short_frac"": 0.0}",3024489,5132,0.0477,0.39,7.54,0.63,11.56,1.33,2026-07-30T09:55:09
"{""inverse_vol"": false, ""learning_rate"": 0.03, ""long_frac"": 0.1, ""max_depth"": 3, ""min_dvol"": 500000, ""min_price"": 3.0, ""min_samples_leaf"": 100, ""sector_neutral"": false, ""short_frac"": 0.0}",3024489,5132,0.0509,0.36,7.92,0.6,12.19,1.26,2026-07-30T09:57:59
"{""inverse_vol"": false, ""learning_rate"": 0.08, ""long_frac"": 0.2, ""max_depth"": 2, ""min_dvol"": 500000, ""min_price"": 5.0, ""min_samples_leaf"": 500, ""sector_neutral"": false, ""short_frac"": 0.0}",2888139,5108,0.0475,0.28,3.46,0.43,6.07,0.91,2026-07-30T10:00:21
"{""inverse_vol"": true, ""learning_rate"": 0.03, ""long_frac"": 0.1, ""max_depth"": 3, ""min_dvol"": 5000000, ""min_price"": 5.0, ""min_samples_leaf"": 100, ""sector_neutral"": true, ""short_frac"": 0.2}",2294646,4977,0.048,-0.02,-0.43,0.31,8.11,0.66,2026-07-30T10:02:24
"{""inverse_vol"": false, ""learning_rate"": 0.03, ""long_frac"": 0.1, ""max_depth"": 2, ""min_dvol"": 5000000, ""min_price"": 3.0, ""min_samples_leaf"": 500, ""sector_neutral"": false, ""short_frac"": 0.0}",2354645,4997,0.0469,0.41,7.82,0.68,14.57,1.44,2026-07-30T10:04:16
"{""inverse_vol"": false, ""learning_rate"": 0.05, ""long_frac"": 0.33, ""max_depth"": 3, ""min_dvol"": 5000000, ""min_price"": 10.0, ""min_samples_leaf"": 200, ""sector_neutral"": false, ""short_frac"": 0.0}",2067748,4882,0.0442,0.4,3.58,0.46,3.79,0.97,2026-07-30T10:06:07
"{""inverse_vol"": false, ""learning_rate"": 0.05, ""long_frac"": 0.1, ""max_depth"": 2, ""min_dvol"": 500000, ""min_price"": 10.0, ""min_samples_leaf"": 100, ""sector_neutral"": true, ""short_frac"": 0.0}",2477747,5002,0.0432,0.01,0.1,0.48,7.45,1.01,2026-07-30T10:08:06
"{""inverse_vol"": false, ""learning_rate"": 0.05, ""long_frac"": 0.1, ""max_depth"": 2, ""min_dvol"": 5000000, ""min_price"": 10.0, ""min_samples_leaf"": 500, ""sector_neutral"": false, ""short_frac"": 0.0}",2067748,4882,0.0436,0.3,5.68,0.83,18.07,1.77,2026-07-30T10:09:43
"{""inverse_vol"": false, ""learning_rate"": 0.08, ""long_frac"": 0.1, ""max_depth"": 4, ""min_dvol"": 5000000, ""min_price"": 5.0, ""min_samples_leaf"": 200, ""sector_neutral"": true, ""short_frac"": 0.2}",2294646,4977,0.0468,-0.16,-3.88,0.29,8.68,0.62,2026-07-30T10:11:58
